Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
中歐和波羅的海,CEB,小学女生毕业率（相关年龄群体所占比例）,SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.07141876,94.84249878,92.96431732,92.806633,93.51248932,93.69915771,92.54376984,94.4050827,95.69644928,96.08167267,97.33869171,97.51931763,100.1855087,99.77539063,98.90260315,98.81819153,98.72530365,98.82324219,97.96212769,96.92986298,97.40738678,97.98980713,97.85653687,96.83322144,96.13059235,95.64557648,96.25511169,96.90702057,98.88845825,93.76303864,93.28574371,92.30937195,93.56487274,93.50507355,
瑞士,CHE,小学女生毕业率（相关年龄群体所占比例）,SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,,,,,51.33694839,59.25688171,57.48003006,57.02313995,54.43891907,54.26140976,54.66279984,53.50326157,52.78181839,52.55373001,51.9865799,51.85063171,52.11027145,51.85942078,53.1466217,54.45964813,57.86117935,60.56135941,,73.51754761,,,96.71009064,98.77063751,96.38945007,97.58953094,96.7873764,98.15341187,96.38204956,98.15379333,97.4160614,98.22434235,97.9227066,98.73095703,97.71183014,97.71231842,94.72782898,97.36183929,97.54860687,95.21208191,97.26782227,95.40341949,94.65081024,95.24658966,96.39420319,95.53803253,
海峡群岛,CHI,小学女生毕业率（相关年龄群体所占比例）,SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
智利,CHL,小学女生毕业率（相关年龄群体所占比例）,SE.PRM.CMPT.FE.ZS,,,,,,,,,,,80.5934906,88.60887909,93.19286346,94.91181183,93.10096741,92.98094177,94.39874268,90.93920135,,,,,,97.31214142,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.18894958,97.52182007,96.61045837,98.18723297,97.63349152,97.82639313,97.52880859,97.68946838,96.95401001,97.54086304,97.72306061,98.81352997,
中国,CHN,小学女生毕业率（相关年龄群体所占比例）,SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.08273315,91.51387787,,,,,,,,,92.97093964,97.07640076,105.7248611,106.3239288,105.377182,,,,,,,,,,,,,
科特迪瓦,CIV,小学女生毕业率（相关年龄群体所占比例）,SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,20.8574791,21.32300949,,27.68024063,30.27589035,32.19879913,34.16186905,37.63990021,42.30617905,,41.82749939,40.74983978,36.81373978,35.78852844,36.54642868,34.05836868,31.57868004,29.57538986,30.84186935,29.01984024,30.42328072,31.73119926,31.1339798,32.73854065,31.55104065,34.02779007,,33.3517189,37.49803162,,,,,32.59949875,35.83858109,,37.3548584,,46.70682144,45.87084961,46.2720108,47.5472908,53.07746887,56.68508148,61.94672012,65.80007935,70.67089081,73.65033722,72.14321899,68.16448212,76.02899933
喀麦隆,CMR,小学女生毕业率（相关年龄群体所占比例）,SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,37.85939026,37.89030838,39.942379,41.71191025,43.09173965,52.67815018,44.96955872,44.52426147,45.00799179,44.51950836,45.17697906,47.09067154,48.78876114,49.36389923,51.10688019,49.86164856,,54.5164299,51.12942886,,,,,,,,44.63774872,46.67300034,,,52.41371918,53.62779999,,47.04850006,49.4822998,64.89874268,64.77655792,66.53269958,65.24880219,69.43608093,,68.92054749,70.24404907,69.17323303,64.43132782,60.90401077,62.00592041,62.9659996,65.14958191,66.20838928,
刚果（金）,COD,小学女生毕业率（相关年龄群体所占比例）,SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,21.32616997,23.24691963,,,,34.22750092,37.49948883,40.79772186,,42.09429169,45.07178879,46.57218933,49.86402893,53.62543869,,,,35.51295853,,,37.93606186,35.16450119,44.35491943,36.80524063,,,,,30.6467495,,,32.33295822,,,,,39.93909836,44.63748169,47.90740967,51.76055145,52.03203964,57.43621063,59.70970154,58.99200058,67.47125244,,,,,74.74075317,79.18981934,,
刚果（布）,COG,小学女生毕业率（相关年龄群体所占比例）,SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,45.28789139,53.60923004,43.65398026,52.74370956,56.54983902,58.72943115,60.16051102,66.51019287,68.58512115,69.36446381,69.93805695,68.41960144,70.68080902,70.80787659,72.22424316,72.93625641,72.81468201,67.12876892,59.48934937,51.34616852,63.48368073,63.2285881,53.75220108,,47.79161835,,,30.49501038,,53.71718979,55.87585831,51.74021149,73.24034882,64.77454376,69.61715698,69.71494293,65.37844086,64.5377121,65.7303772,73.91236115,76.59117889,,,74.39299774,,,66.02600098,,,,,
哥伦比亚,COL,小学女生毕业率（相关年龄群体所占比例）,SE.PRM.CMPT.FE.ZS,,,,,,,,,,,37.24958038,55.79848099,57.09886169,60.84383011,62.06991959,,,,,,,,76.68477631,79.74241638,79.87490845,75.35093689,73.990448,78.36869049,77.63275909,76.83387756,88.95379639,79.06764984,90.96819305,88.75218964,87.12763977,90.93031311,91.77261353,,97.25240326,98.86599731,101.6422577,,98.6187973,,105.7508087,108.8201675,114.7026978,116.7642593,116.2831573,121.8910904,121.2884064,118.8166809,113.0773163,102.9589615,102.1743164,101.969101,102.6967773,106.4834595,105.1900635,103.1868591,99.61083984,98.27411652,96.75051117,
